cause,year,source,rfreq
overdose,2006,cdc,0.01265108490715599
overdose,2006,google,0.05973578400000001
overdose,2007,nyt,0.0022998022170093372
overdose,2007,cdc,0.01375862161162941
overdose,2007,google,0.064453879
overdose,2008,nyt,0.0018635242532200602
overdose,2008,cdc,0.01415695677296365
overdose,2008,google,0.06775139999999999
overdose,2009,nyt,0.0022207522207522206
overdose,2009,cdc,0.01467697077083905
overdose,2009,google,0.071264678
overdose,2010,nyt,0.0028401332677917964
overdose,2010,cdc,0.01515535141095537
overdose,2010,google,0.077652051
overdose,2011,nyt,0.0030936633240879028
overdose,2011,cdc,0.01651373557722288
overdose,2011,google,0.077512777
overdose,2012,nyt,0.0023983490434491606
overdose,2012,cdc,0.01647295872148222
overdose,2012,google,0.076364154
overdose,2013,nyt,0.0019481669520042505
overdose,2013,cdc,0.01734743358358836
overdose,2013,google,0.07536973799999999
overdose,2014,nyt,0.003246558047255456
overdose,2014,cdc,0.01853187613200875
overdose,2014,google,0.09663468
overdose,2015,nyt,0.003032764689953967
overdose,2015,cdc,0.02024283039775767
overdose,2015,google,0.07372600900000001
overdose,2016,nyt,0.003933136676499509
overdose,2016,cdc,0.02457308296464231
overdose,2016,google,0.071571572
respiratory disease,1999,nyt,0.06685831622176591
respiratory disease,1999,cdc,0.08546618643454942
respiratory disease,1999,google,NA
respiratory disease,2000,nyt,0.0663686962388261
respiratory disease,2000,cdc,0.08510937974225745
respiratory disease,2000,google,NA
respiratory disease,2001,nyt,0.04074694271071193
respiratory disease,2001,cdc,0.08398320580961713
respiratory disease,2001,google,NA
respiratory disease,2002,nyt,0.03188775510204082
respiratory disease,2002,cdc,0.08564264918240327
respiratory disease,2002,google,NA
respiratory disease,2003,nyt,0.06215742781262361
respiratory disease,2003,cdc,0.08626828041278342
respiratory disease,2003,google,NA
respiratory disease,2004,nyt,0.06580241912147694
respiratory disease,2004,cdc,0.08366225413841477
respiratory disease,2004,google,0.130990416
respiratory disease,2005,nyt,0.07999248308694563
respiratory disease,2005,cdc,0.08801890962827946
respiratory disease,2005,google,0.132433783
respiratory disease,2006,nyt,0.068468642715536
respiratory disease,2006,cdc,0.08313156512544705
respiratory disease,2006,google,0.126823664
respiratory disease,2007,nyt,0.05556322156294559
respiratory disease,2007,cdc,0.08327317451405043
respiratory disease,2007,google,0.133024572
respiratory disease,2008,nyt,0.04894491641545629
respiratory disease,2008,cdc,0.08979994813301605
respiratory disease,2008,google,0.137770072
respiratory disease,2009,nyt,0.12554337554337555
respiratory disease,2009,cdc,0.08829151334828853
respiratory disease,2009,google,0.144688892
respiratory disease,2010,nyt,0.05543721666939756
respiratory disease,2010,cdc,0.0863136273859553
respiratory disease,2010,google,0.141301273
respiratory disease,2011,nyt,0.04757840836355878
respiratory disease,2011,cdc,0.08956425677493299
respiratory disease,2011,google,0.146791595
respiratory disease,2012,nyt,0.053321434547381336
respiratory disease,2012,cdc,0.0880164348730523
respiratory disease,2012,google,0.150876193
respiratory disease,2013,nyt,0.05720526595430663
respiratory disease,2013,cdc,0.09206360829833424
respiratory disease,2013,google,0.152872583
respiratory disease,2014,nyt,0.05344796488907593
respiratory disease,2014,cdc,0.08920625794720849
respiratory disease,2014,google,0.159345858
respiratory disease,2015,nyt,0.039859193067966425
respiratory disease,2015,cdc,0.09043272791304596
respiratory disease,2015,google,0.162806088
respiratory disease,2016,nyt,0.040271899448505837
respiratory disease,2016,cdc,0.08683163299478208
respiratory disease,2016,google,0.157032032
stroke,1999,nyt,0.06751540041067762
stroke,1999,cdc,0.05972549631388951
stroke,1999,google,NA
stroke,2000,nyt,0.06771799628942486
stroke,2000,cdc,0.05975948633230287
stroke,2000,google,NA
stroke,2001,nyt,0.03648449789414929
stroke,2001,cdc,0.05807438659042625
stroke,2001,google,NA
stroke,2002,nyt,0.035910518053375196
stroke,2002,cdc,0.05673184302286897
stroke,2002,google,NA
stroke,2003,nyt,0.04023280782053455
stroke,2003,cdc,0.05484653033025107
stroke,2003,google,NA
stroke,2004,nyt,0.042826552462526764
stroke,2004,cdc,0.05297935467350023
stroke,2004,google,0.1040218
stroke,2005,nyt,0.04560260586319218
stroke,2005,cdc,0.04981750284343369
stroke,2005,google,0.108845577
stroke,2006,nyt,0.04893380397466274
stroke,2006,cdc,0.04904426432224952
stroke,2006,google,0.112923607
stroke,2007,nyt,0.04728393358171197
stroke,2007,cdc,0.04853641198972183
stroke,2007,google,0.112311849
stroke,2008,nyt,0.05963277610304193
stroke,2008,cdc,0.04776266760087901
stroke,2008,google,0.115364097
stroke,2009,nyt,0.05098280098280098
stroke,2009,cdc,0.04724147078424141
stroke,2009,google,0.113645566
stroke,2010,nyt,0.06341143699819761
stroke,2010,cdc,0.04707649092678774
stroke,2010,google,0.122772277
stroke,2011,nyt,0.06459355664604224
stroke,2011,cdc,0.0459621686158003
stroke,2011,google,0.135718342
stroke,2012,nyt,0.06838083551787606
stroke,2012,cdc,0.04529972968242899
stroke,2012,google,0.13748397199999998
stroke,2013,nyt,0.05974378652813035
stroke,2013,cdc,0.04455117070953419
stroke,2013,google,0.13722980699999998
stroke,2014,nyt,0.04972043527926411
stroke,2014,cdc,0.04430331750211191
stroke,2014,google,0.131098797
stroke,2015,nyt,0.04538315732466829
stroke,2015,cdc,0.04302336934531638
stroke,2015,google,0.129980146
stroke,2016,nyt,0.05006198965414048
stroke,2016,cdc,0.0426834893398693
stroke,2016,google,0.13038038
suicide,1999,nyt,0.07457905544147844
suicide,1999,cdc,0.0132717260839448
suicide,1999,google,NA
suicide,2000,nyt,0.07674144037780402
suicide,2000,cdc,0.01332102958896043
suicide,2000,google,NA
suicide,2001,nyt,0.0675901963769219
suicide,2001,cdc,0.01386278632701289
suicide,2001,google,NA
suicide,2002,nyt,0.09865580847723705
suicide,2002,cdc,0.01420431555834491
suicide,2002,google,NA
suicide,2003,nyt,0.10408543820986609
suicide,2003,cdc,0.014151880274246161
suicide,2003,google,NA
suicide,2004,nyt,0.0925400775507842
suicide,2004,cdc,0.01490529383643094
suicide,2004,google,0.022740086
suicide,2005,nyt,0.11363066900526184
suicide,2005,cdc,0.01477723183447539
suicide,2005,google,0.024987506
suicide,2006,nyt,0.10241284270586529
suicide,2006,cdc,0.01525611197986193
suicide,2006,google,0.024468696
suicide,2007,nyt,0.10919460926360333
suicide,2007,cdc,0.01591742429899993
suicide,2007,google,0.023800334
suicide,2008,nyt,0.10271307207454097
suicide,2008,cdc,0.01636494337854253
suicide,2008,google,0.02440650799999999
suicide,2009,nyt,0.09946134946134946
suicide,2009,cdc,0.01702423239137849
suicide,2009,google,0.022675125
suicide,2010,nyt,0.10623190780490468
suicide,2010,cdc,0.01757077711024083
suicide,2010,google,0.024186704
suicide,2011,nyt,0.10422445060806486
suicide,2011,cdc,0.01795299775735459
suicide,2011,google,0.023140261
suicide,2012,nyt,0.1025712532768141
suicide,2012,cdc,0.01837678877959914
suicide,2012,google,0.024362445
suicide,2013,nyt,0.09652281716748332
suicide,2013,cdc,0.01833377835685409
suicide,2013,google,0.023606371
suicide,2014,nyt,0.10304815727770096
suicide,2014,cdc,0.01885108716930354
suicide,2014,google,0.023651845
suicide,2015,nyt,0.0984023828865421
suicide,2015,cdc,0.01882176477334792
suicide,2015,google,0.028325612
suicide,2016,nyt,0.10675045957847035
suicide,2016,cdc,0.01890360283056978
suicide,2016,google,0.04867367400000001
terrorism,1999,nyt,0.11170431211498973
terrorism,1999,cdc,0
terrorism,1999,google,NA
terrorism,2000,nyt,0.1142688480350818
terrorism,2000,cdc,0
terrorism,2000,google,NA
terrorism,2001,nyt,0.45729943674836354
terrorism,2001,cdc,0.00132614377631467
terrorism,2001,google,NA
terrorism,2002,nyt,0.42631475667189955
terrorism,2002,cdc,4.495747921615736e-7
terrorism,2002,google,NA
terrorism,2003,nyt,0.36328191218850653
terrorism,2003,cdc,0
terrorism,2003,google,NA
terrorism,2004,nyt,0.3588749348920655
terrorism,2004,cdc,0
terrorism,2004,google,0.08832926099999999
terrorism,2005,nyt,0.27455524931094966
terrorism,2005,cdc,0
terrorism,2005,google,0.067466267
terrorism,2006,nyt,0.2869783859581258
terrorism,2006,cdc,0
terrorism,2006,google,0.060080414
terrorism,2007,nyt,0.24295110620486637
terrorism,2007,cdc,0
terrorism,2007,google,0.048887174
terrorism,2008,nyt,0.22762400657714443
terrorism,2008,cdc,0
terrorism,2008,google,0.04361163
terrorism,2009,nyt,0.18753543753543753
terrorism,2009,cdc,0
terrorism,2009,google,0.040761236
terrorism,2010,nyt,0.20170407996067508
terrorism,2010,cdc,0
terrorism,2010,google,0.038048091
terrorism,2011,nyt,0.18209942393855344
terrorism,2011,cdc,0
terrorism,2011,google,0.033077797
terrorism,2012,nyt,0.1606336103519438
terrorism,2012,cdc,0
terrorism,2012,google,0.027354324
terrorism,2013,nyt,0.17179290394946573
terrorism,2013,cdc,1.3395356812119403e-6
terrorism,2013,google,0.02858361799999999
terrorism,2014,nyt,0.19852101244513917
terrorism,2014,cdc,0
terrorism,2014,google,0.0278416
terrorism,2015,nyt,0.2464662875710804
terrorism,2015,cdc,2.1318116177764096e-6
terrorism,2015,google,0.039179351
terrorism,2016,nyt,0.27168569107776497
terrorism,2016,cdc,0
terrorism,2016,google,0.03753753799999999
